Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Description
karbutilate,-2.655,1,279.34,2,1,2,70.67,-2.93,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,"cid is 4506,compound_name is Nitrazepam,cid_paras is 4506,Molecular_Weight is 281.27,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 1,Exact_Mass is 281.08004122,Monoisotopic_Mass is 281.08004122,Topological_Polar_Surface_Area is 87.3,""Unit"":""Å²"",Heavy_Atom_Count is 21,Formal_Charge is 0,Complexity is 452,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid,Melting_Point is 225,""Unit"":""°C"""
3-Methyl-1-Butene,-1.994,1,70.135,0,0,1,0.0,-2.73,CC(C)C=C,"cid is 2735009,compound_name is N,N'-Diethylthiourea,cid_paras is 2735009,Molecular_Weight is 132.23,XLogP3 is 0.6,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 2,Exact_Mass is 132.07211956,Monoisotopic_Mass is 132.07211956,Topological_Polar_Surface_Area is 56.2,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 64.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Buffsolidorwhitepowder.(NTP,1992),Color/Form is BUFFSOLID,Boiling_Point is Decomposes(NTP,1992),Melting_Point is 291°F(NTP,1992)"
2-Hydroxypyridine,-1.655,1,95.101,1,1,0,33.120000000000005,1.02,Oc1ccccn1,"cid is 13619,compound_name is 2,3,5-Trichlorophenol,cid_paras is 13619,Molecular_Weight is 197.4,XLogP3 is 3.6,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 195.924948,Monoisotopic_Mass is 195.924948,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 120,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Longcolorlessneedlesorwhitechalkysolid.(NTP,1992),Boiling_Point is 478to480°Fat760mmHg(NTP,1992),Melting_Point is 135to138°F(NTP,1992)"
Ethane,-1.132,1,30.07,0,0,0,0.0,-1.36,CC,"cid is 12206,compound_name is Methyl valerate,cid_paras is 12206,Molecular_Weight is 116.16,XLogP3 is 2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 4,Exact_Mass is 116.083729621,Monoisotopic_Mass is 116.083729621,Topological_Polar_Surface_Area is 26.3,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 68.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methylvalerateisaclearcolorlesstoyellowishoilyliquid.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":15,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methyl%20valerate"",""Type"":""PubChemInternalLink"",""Extra"":""CID-12206,Boiling_Point is 259.7°Fat760mmHg(NTP,1992),Flash_Point is 72°F(NTP,1992),Density is 0.8947at68°F(NTP,1992)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"1,2-Dichlorobenzene",-3.482,1,147.00399999999996,0,1,0,0.0,-3.05,Clc1ccccc1Cl,"cid is 6115,compound_name is Aniline,cid_paras is 6115,Molecular_Weight is 93.13,XLogP3 is 0.9,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 93.057849228,Monoisotopic_Mass is 93.057849228,Topological_Polar_Surface_Area is 26,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 46.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Anilineappearsasayellowishtobrownishoilyliquidwithamustyfishyodor.Meltingpoint-6°C;boilingpoint184°C;flashpoint158°F.Denserthanwater(8.5lb/gal)andslightlysolubleinwater.Vaporsheavierthanair.Toxicbyskinabsorptionandinhalation.Producestoxicoxidesofnitrogenduringcombustion.Usedtomanufactureotherchemicals,especiallydyes,photographicchemicals,agriculturalchemicalsandothers."",""Markup"":[{""Start"":0,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Aniline"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6115"",Color/Form is Oilyliquid;colorlesswhenfreshlydistilled,darkensonexposuretoairandlight,Odor is Hedonictone;pungent,Boiling_Point is 363to367°Fat760mmHg(EPA,1998),Melting_Point is 21°F(EPA,1998),Flash_Point is 158°F(EPA,1998),Density is 1.022at68°F(EPA,1998)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
mercaptobenzothiazole,-3.411,1,167.25799999999998,1,2,0,12.89,-3.18,Sc2nc1ccccc1s2 ,"cid is 11306,compound_name is 1,5-Dimethylnaphthalene,cid_paras is 11306,Molecular_Weight is 156.22,XLogP3 is 4.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 156.093900383,Monoisotopic_Mass is 156.093900383,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 12,Formal_Charge is 0,Complexity is 132,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Whitecrystallinesolid;[AlfaAesarMSDS]"
"2,2',3,3',4,4',5,5',6,6'-PCB",-9.589,1,498.66200000000026,0,2,1,0.0,-11.6,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,"cid is 3639,compound_name is Hydrochlorothiazide,cid_paras is 3639,Molecular_Weight is 297.7,XLogP3 is -0.1,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 7,Rotatable_Bond_Count is 1,Exact_Mass is 296.9644758,Monoisotopic_Mass is 296.9644758,Topological_Polar_Surface_Area is 135,""Unit"":""Å²"",Heavy_Atom_Count is 17,Formal_Charge is 0,Complexity is 494,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Crystalsorwhitepowder.(NTP,1992),Color/Form is White,orpracticallywhitecrystallinepowder,Odor is Practicallyodorless,Melting_Point is 523to527°F(NTP,1992),Density is 1.693g/cucm"
Methoxsalen,-3.25,1,216.19199999999995,0,3,1,52.58,-3.664,COc2c1occc1cc3ccc(=O)oc23 ,"cid is 9161,compound_name is Acenaphthylene,cid_paras is 9161,Molecular_Weight is 152.19,XLogP3 is 3.7,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 152.062600255,Monoisotopic_Mass is 152.062600255,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 12,Formal_Charge is 0,Complexity is 184,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Acenaphthyleneisacolorlesscrystallinesolid.Insolubleinwater.Usedindyesynthesis,insecticides,fungicides,andinthemanufactureofplastics."",""Markup"":[{""Start"":0,""Length"":14,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Acenaphthylene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-9161"",Color/Form is Yellowneedles,Boiling_Point is 509to527°Fat760mmHg(NTP,1992),Melting_Point is 200.3to202.1°F(NTP,1992),Flash_Point is 122.0°C(251.6°F)-closedcup,Density is 0.8988at61°F(NTP,1992)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Acetamide,0.494,1,59.068,1,0,0,43.09,1.58,CC(=O)N,"cid is 12217,compound_name is Pentyl propionate,cid_paras is 12217,Molecular_Weight is 144.21,XLogP3 is 2.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 6,Exact_Mass is 144.115029749,Monoisotopic_Mass is 144.115029749,Topological_Polar_Surface_Area is 26.3,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 89.3,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is N-pentylpropionateisacolorlessliquidwithanapple-likeodor.Floatsonwater.(USCG,1999)"",""Markup"":[{""Start"":0,""Length"":19,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/N-pentyl%20propionate"",""Type"":""PubChemInternalLink"",""Extra"":""CID-12217"",Boiling_Point is 167.00to169.00°C.@760.00mmHg,Melting_Point is -73.1°C,Flash_Point is 106°F(USCG,1999),Density is 0.869to0.873at68°F(USCG,1999)"
1-Methylnaphthalene,-3.802,1,142.201,0,2,0,0.0,-3.7,Cc1cccc2ccccc12,"cid is 15359,compound_name is Atraton,cid_paras is 15359,Molecular_Weight is 211.26,XLogP3 is 2.7,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 6,Rotatable_Bond_Count is 5,Exact_Mass is 211.14331018,Monoisotopic_Mass is 211.14331018,Topological_Polar_Surface_Area is 72,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 178,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Napropamide,-4.088,1,271.36,0,2,5,29.540000000000003,-3.57,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,"cid is 2336,compound_name is Benzo[a]pyrene,cid_paras is 2336,Molecular_Weight is 252.3,XLogP3 is 6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 252.093900383,Monoisotopic_Mass is 252.093900383,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 20,Formal_Charge is 0,Complexity is 372,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Benzo[a]pyreneappearsasaliquid.Presentsathreattotheenvironment.Immediatestepsshouldbetakentolimitsitsspreadtotheenvironment.Easilypenetratesthesoilandcontaminatesgroundwaterornearbywaterways."",""Markup"":[{""Start"":0,""Length"":14,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Benzo%5Ba%5Dpyrene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-2336,Color/Form is Paleyellowmonoclinicneedlesfrombenzeneandmethanol"",""Markup"":[{""Start"":36,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/benzene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-241"",Odor is Faintaromaticodor,Boiling_Point is 887°Fat760mmHg(NTP,1992),Melting_Point is 349.7to351.5°F(NTP,1992),Density is greaterthan1(NTP,1992)"
"3,3-Dimethyl-2-butanol",-1.2919999999999998,1,102.177,1,0,0,20.23,-0.62,CC(O)C(C)(C)C,"cid is 6332,compound_name is Bromoethane,cid_paras is 6332,Molecular_Weight is 108.97,XLogP3 is 1.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 107.95746,Monoisotopic_Mass is 107.95746,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 3,Formal_Charge is 0,Complexity is 2.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ethylbromideappearsasacolorlessvolatileliquid.Slightlysolubleinwateranddenserthanwater.Flashpointbelow0°F.Vaporsareheavierthanair.Toxicbyinhalation.Irritatesskinandeyes.Usedtomakepharmaceuticalsandasasolvent."",""Markup"":[{""Start"":0,""Length"":13,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Ethyl%20bromide"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6332"",Color/Form is Liquid,Odor is ...Ether-likeodor,Boiling_Point is 101.1°Fat760mmHg(NTP,1992),Melting_Point is -182°F(NTP,1992),Flash_Point is -10°F(NTP,1992),Density is 1.46at68°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":40,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Methyl pentanoate,-1.545,1,116.15999999999998,0,0,3,26.3,-1.36,CCCC(=O)OCC,"cid is 3061,compound_name is Digimed,cid_paras is 3061,Molecular_Weight is 764.9,XLogP3 is 2.3,Hydrogen_Bond_Donor_Count is 5,Hydrogen_Bond_Acceptor_Count is 13,Rotatable_Bond_Count is 7,Exact_Mass is 764.43469209,Monoisotopic_Mass is 764.43469209,Topological_Polar_Surface_Area is 183,""Unit"":""Å²"",Heavy_Atom_Count is 54,Formal_Charge is 0,Complexity is 1410,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 20,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Menadione,-2.667,1,172.18299999999996,0,2,0,34.14,-3.03,CC2=CC(=O)c1ccccc1C2=O ,"cid is 11240,compound_name is 2-Methyl-1-butene,cid_paras is 11240,Molecular_Weight is 70.13,XLogP3 is 2.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 70.078250319,Monoisotopic_Mass is 70.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 35.3,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 2-methyl-1-buteneappearsasacolorlessvolatileliquidwithadisagreeableodor.Insolubleinwaterandlessdensethanwater.Vaporsareheavierthanair.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":17,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/2-methyl-1-butene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-11240"",Color/Form is Colorlessliquid,Odor is Disagreeableodor,Boiling_Point is 31.2°C,Melting_Point is -137.5°C,Flash_Point is lessthan20°F(NFPA,2010),Density is 0.6504@20°C/4°C"
Phenanthrene,-4.518,2,178.23399999999998,0,3,0,0.0,-5.26,c1ccc2c(c1)ccc3ccccc32,"cid is 1923,compound_name is Oxyquinoline,cid_paras is 1923,Molecular_Weight is 145.16,XLogP3 is 2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 145.052763847,Monoisotopic_Mass is 145.052763847,Topological_Polar_Surface_Area is 33.1,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 138,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 8-hydroxyquinolineappearsaswhitetooff-whiteorfaintlyyellowcrystallinepowder.Phenolicodor.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":18,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/8-hydroxyquinoline"",""Type"":""PubChemInternalLink"",""Extra"":""CID-1923,Color/Form is Whitecrystalsorwhitecrystallinepowder,Odor is Phenolicodor,Boiling_Point is 513°Fat760mmHg(NTP,1992),Melting_Point is 169°F(NTP,1992),Density is 1.034at408°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"2,4-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.38,Cc1ccnc(C)c1,"cid is 8404,compound_name is 1,2,3,4-Tetrahydronaphthalene,cid_paras is 8404,Molecular_Weight is 132.20,XLogP3 is 3.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 132.093900383,Monoisotopic_Mass is 132.093900383,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 10,Formal_Charge is 0,Complexity is 92.6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Tetrahydronaphthaleneappearsasalightcoloredliquid.Maybeirritatingtoskin,eyesandmucousmembranes."",""Markup"":[{""Start"":0,""Length"":21,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Tetrahydronaphthalene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8404,Color/Form is COLORLESSLIQUID,Odor is ODORRESEMBLINGMIXTUREOFBENZENE&MENTHOL"",""Markup"":[{""Start"":27,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/BENZENE"",""Type"":""PubChemInternalLink"",""Extra"":""CID-241"",Boiling_Point is 406°Fat760mmHg(USCG,1999),Melting_Point is -23.1°F(USCG,1999),Flash_Point is 176°F(USCG,1999),Density is 0.974at68°F(liquid(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":54,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
1-Nonanol,-2.46,1,144.258,1,0,7,20.23,-3.01,CCCCCCCCCO,"cid is 4764,compound_name is Phenolphthalein,cid_paras is 4764,Molecular_Weight is 318.3,XLogP3 is 3.6,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 2,Exact_Mass is 318.08920892,Monoisotopic_Mass is 318.08920892,Topological_Polar_Surface_Area is 66.8,""Unit"":""Å²"",Heavy_Atom_Count is 24,Formal_Charge is 0,Complexity is 438,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Phenolphthaleinappearsaswhiteoryellowish-whitetopaleorangefinecrystallinepowder.Odorless.Aqueoussolutionisacidic.ColorlesstopH8.5;pinktodeep-redabovepH9.Colorlessinpresenceoflargeamountsofalkali.Tasteless.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":15,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Phenolphthalein"",""Type"":""PubChemInternalLink"",""Extra"":""CID-4764,Color/Form is Whiteoryellowish-whiteminute,tricliniccrystals,oftentwinned,Odor is ODORLESS,Melting_Point is 496to504°F(NTP,1992),Density is 1.299at77°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":41,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Dibromomethane,-1.883,1,173.83499999999998,0,0,0,0.0,-1.17,BrCBr,"cid is 12279,compound_name is 1,3,5-Tribromobenzene,cid_paras is 12279,Molecular_Weight is 314.80,XLogP3 is 4.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 313.77644,Monoisotopic_Mass is 311.77849,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 63.3,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Dexamethasone,-3.4,1,392.4670000000002,3,4,2,94.83,-3.59,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,"cid is 9298,compound_name is Fenchlorphos,cid_paras is 9298,Molecular_Weight is 321.5,XLogP3 is 5.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 4,Exact_Mass is 319.899735,Monoisotopic_Mass is 319.899735,Topological_Polar_Surface_Area is 59.8,""Unit"":""Å²"",Heavy_Atom_Count is 16,Formal_Charge is 0,Complexity is 273,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ronnelisawhitetolight-tancrystallinesolid.Mp:41°C,Density:1.49gcm-3at25°C.Biocidal(toxictoallanimallifeindifferingdegrees)byitsactionasacholinesteraseinhibitor.Usedasaninsecticide.Degradesreadilyintheenvironmentbyhydrolysisandoxidation."",""Markup"":[{""Start"":0,""Length"":6,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Ronnel"",""Type"":""PubChemInternalLink"",""Extra"":""CID-9298,Color/Form is COLORLESSCRYSTALS,Odor is Mercaptanodor,Boiling_Point is Decomposes(NIOSH,2024),Melting_Point is 106°F(NIOSH,2024),Density is 1.49at77°F(NIOSH,2024)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"2,6-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.89,Cc1ccc2cc(C)ccc2c1,"cid is 667493,compound_name is Methylthiouracil,cid_paras is 667493,Molecular_Weight is 142.18,XLogP3 is -0.2,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 142.02008399,Monoisotopic_Mass is 142.02008399,Topological_Polar_Surface_Area is 73.2,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 197,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methylthiouracilappearsaswhitecrystallinepowderwithanodorofonionsandabittertaste.Asaturatedaqueoussolutionisneutralorslightlyacidic.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":16,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methylthiouracil"",""Type"":""PubChemInternalLink"",""Extra"":""CID-667493,Color/Form is CRYSTALS,Odor is ODORLESS,Melting_Point is 570to577°F(Decomposes)(NTP,1992)"
