CMPD_CHEMBLID,exp,smiles,Description
CHEMBL2163586,3.75,FC(F)(F)c1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,"cid is 57401936,compound_name is 4-[2,4-Dimethoxy-5-[(2-piperidin-1-ylphenyl)methylsulfamoyl]anilino]-4-oxobutanoic acid,cid_paras is 57401936,Molecular_Weight is 505.6,XLogP3 is 1.9,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 11,Exact_Mass is 505.18827151,Monoisotopic_Mass is 505.18827151,Topological_Polar_Surface_Area is 143,""Unit"":""Å²"",Heavy_Atom_Count is 35,Formal_Charge is 0,Complexity is 797,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL2031164,0.6,OC(=O)[C@H](Cc1ccc(OCCNc2nc3ccccc3[nH]2)cc1)NC(=O)c4c(Cl)cccc4Cl,"cid is 6539003,compound_name is 2,4-Bis anilino pyrimidine deriv. 20,cid_paras is 6539003,Molecular_Weight is 393.5,XLogP3 is 3.7,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 7,Rotatable_Bond_Count is 9,Exact_Mass is 393.21647512,Monoisotopic_Mass is 393.21647512,Topological_Polar_Surface_Area is 82.5,""Unit"":""Å²"",Heavy_Atom_Count is 29,Formal_Charge is 0,Complexity is 453,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL406852,-0.58,COc1nc(N)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,"cid is 24946104,compound_name is 1-[5-(Cyclohexylcarbamoyl)-6-propylsulfanylpyridin-2-yl]piperidine-3-carboxylic acid,cid_paras is 24946104,Molecular_Weight is 405.6,XLogP3 is 4.2,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 6,Rotatable_Bond_Count is 7,Exact_Mass is 405.20861303,Monoisotopic_Mass is 405.20861303,Topological_Polar_Surface_Area is 108,""Unit"":""Å²"",Heavy_Atom_Count is 28,Formal_Charge is 0,Complexity is 527,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1172928,1.69,C[C@@H]1NC(C)(C)CO[C@@]1(O)c2cccc(Cl)c2,"cid is 22170205,compound_name is 4-(3-Chlorophenylamino)-6,7-dimethoxyquinoline-3-carboxamide,cid_paras is 22170205,Molecular_Weight is 357.8,XLogP3 is 3.7,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 5,Exact_Mass is 357.0880191,Monoisotopic_Mass is 357.0880191,Topological_Polar_Surface_Area is 86.5,""Unit"":""Å²"",Heavy_Atom_Count is 25,Formal_Charge is 0,Complexity is 467,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1951893,2.67,CCN(C1CCN(CCC(N2CCN(CC2)c3ccccc3)c4ccccc4)CC1)C(=O)Cc5ccc(cc5)S(=O)(=O)C,"cid is 49862688,compound_name is N-[2-(azepan-1-yl)-2-phenylethyl]-4-bromobenzenesulfonamide,cid_paras is 49862688,Molecular_Weight is 437.4,XLogP3 is 4.3,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 6,Exact_Mass is 436.08201,Monoisotopic_Mass is 436.08201,Topological_Polar_Surface_Area is 57.8,""Unit"":""Å²"",Heavy_Atom_Count is 26,Formal_Charge is 0,Complexity is 500,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL2164675,-0.1,CN1CCN(CC1)C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N,"cid is 57401936,compound_name is 4-[2,4-Dimethoxy-5-[(2-piperidin-1-ylphenyl)methylsulfamoyl]anilino]-4-oxobutanoic acid,cid_paras is 57401936,Molecular_Weight is 505.6,XLogP3 is 1.9,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 11,Exact_Mass is 505.18827151,Monoisotopic_Mass is 505.18827151,Topological_Polar_Surface_Area is 143,""Unit"":""Å²"",Heavy_Atom_Count is 35,Formal_Charge is 0,Complexity is 797,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL2326686,1.33,Fc1ccc(cc1Cl)C2CNCC=CC2,"cid is 442972,compound_name is Cyclopamine,cid_paras is 442972,Molecular_Weight is 411.6,XLogP3 is 3.5,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 0,Exact_Mass is 411.313729551,Monoisotopic_Mass is 411.313729551,Topological_Polar_Surface_Area is 41.5,""Unit"":""Å²"",Heavy_Atom_Count is 30,Formal_Charge is 0,Complexity is 801,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 10,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1209655,3.36,Clc1cc(Cl)cc(c1)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,"cid is 9881504,compound_name is Eslicarbazepine,cid_paras is 9881504,Molecular_Weight is 254.28,XLogP3 is 1.4,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 254.105527694,Monoisotopic_Mass is 254.105527694,Topological_Polar_Surface_Area is 66.6,""Unit"":""Å²"",Heavy_Atom_Count is 19,Formal_Charge is 0,Complexity is 347,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL2325707,1.9,CN1CCC(CC1)(c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5)S(=O)(=O)C,"cid is 219408,compound_name is 5-Phenyl-1,3,4-thiadiazol-2-amine,cid_paras is 219408,Molecular_Weight is 177.23,XLogP3 is 1.7,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 1,Exact_Mass is 177.03606841,Monoisotopic_Mass is 177.03606841,Topological_Polar_Surface_Area is 80,""Unit"":""Å²"",Heavy_Atom_Count is 12,Formal_Charge is 0,Complexity is 147,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL188369,3.14,C[C@@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,"cid is 52941568,compound_name is 1-(4-(4-Fluoro-2-chlorophenyl)piperidin-1-yl)-2-(pyridin-4-ylmethoxy)ethanethione,cid_paras is 52941568,Molecular_Weight is 378.9,XLogP3 is 3.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 5,Exact_Mass is 378.0968903,Monoisotopic_Mass is 378.0968903,Topological_Polar_Surface_Area is 57.4,""Unit"":""Å²"",Heavy_Atom_Count is 25,Formal_Charge is 0,Complexity is 428,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL2331749,2.12,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccc(Cl)cc4)c3)C(=O)NC1=O,"cid is 17134,compound_name is Sulfadoxine,cid_paras is 17134,Molecular_Weight is 310.33,XLogP3 is 0.7,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 8,Rotatable_Bond_Count is 5,Exact_Mass is 310.07357611,Monoisotopic_Mass is 310.07357611,Topological_Polar_Surface_Area is 125,""Unit"":""Å²"",Heavy_Atom_Count is 21,Formal_Charge is 0,Complexity is 420,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid,Melting_Point is 190-194°C,Solubility is 2.96e-01g/L"
CHEMBL1951916,1.93,CCN(C1CCN(CC[C@H](C2CCN(CC2)S(=O)(=O)C)c3cc(C)cc(C)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,"cid is 16058762,compound_name is 5-Chloro-N2-[(1S)-1-(5-fluoropyrimidin-2-yl)ethyl]-N4-(5-methoxy-1H-pyrazol-3-yl)pyrimidine-2,4-diamine,cid_paras is 16058762,Molecular_Weight is 364.76,XLogP3 is 2.3,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 6,Exact_Mass is 364.0963130,Monoisotopic_Mass is 364.0963130,Topological_Polar_Surface_Area is 114,""Unit"":""Å²"",Heavy_Atom_Count is 25,Formal_Charge is 0,Complexity is 416,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1950854,1.45,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(OC)cc2)C1)C(C)(C)C,"cid is 16732167,compound_name is 7-Chloro-2-(1-thiophen-3-ylethyl)-3,5-dihydropyridazino[4,5-b]quinoline-1,4,10-trione,cid_paras is 16732167,Molecular_Weight is 373.8,XLogP3 is 2.9,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 2,Exact_Mass is 373.0287901,Monoisotopic_Mass is 373.0287901,Topological_Polar_Surface_Area is 107,""Unit"":""Å²"",Heavy_Atom_Count is 25,Formal_Charge is 0,Complexity is 668,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL47406,0.92,COC(=O)COc1ccc(O)cc1,"cid is 4974205,compound_name is (4-ethylpiperazin-1-yl)-(5-fluoro-1H-indol-2-yl)methanone,cid_paras is 4974205,Molecular_Weight is 275.32,XLogP3 is 2.1,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 2,Exact_Mass is 275.14339037,Monoisotopic_Mass is 275.14339037,Topological_Polar_Surface_Area is 39.3,""Unit"":""Å²"",Heavy_Atom_Count is 20,Formal_Charge is 0,Complexity is 357,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Solubility is 36.4[ug/mL](ThemeanoftheresultsatpH7.4)"
CHEMBL403963,-0.4,C(=C\c1nn[nH]n1)/c2ccccc2,"cid is 57401936,compound_name is 4-[2,4-Dimethoxy-5-[(2-piperidin-1-ylphenyl)methylsulfamoyl]anilino]-4-oxobutanoic acid,cid_paras is 57401936,Molecular_Weight is 505.6,XLogP3 is 1.9,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 11,Exact_Mass is 505.18827151,Monoisotopic_Mass is 505.18827151,Topological_Polar_Surface_Area is 143,""Unit"":""Å²"",Heavy_Atom_Count is 35,Formal_Charge is 0,Complexity is 797,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL669,2.83,CN(C)CCC=C1c2ccccc2C=Cc3ccccc13,"cid is 26987,compound_name is Clemastine,cid_paras is 26987,Molecular_Weight is 343.9,XLogP3 is 5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 6,Exact_Mass is 343.1702921,Monoisotopic_Mass is 343.1702921,Topological_Polar_Surface_Area is 12.5,""Unit"":""Å²"",Heavy_Atom_Count is 24,Formal_Charge is 0,Complexity is 376,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 2,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid,Melting_Point is 178,""Unit"":""°C(hydrogenfumarateformulation)"",Solubility is Soluble(hydrogenfumarateformulation)"",""Markup"":[{""Start"":9,""Length"":17,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/hydrogen%20fumarate"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6183479"
CHEMBL109244,1.26,Oc1ccc(CCNCCCCCCNC(=O)Nc2ccccc2)c3sc(O)nc13,"cid is 10291446,compound_name is N-[(3R)-1-azabicyclo[2.2.2]oct-3-yl]-5-phenylthiophene-2-carboxamide,cid_paras is 10291446,Molecular_Weight is 312.4,XLogP3 is 3.5,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 3,Exact_Mass is 312.12963444,Monoisotopic_Mass is 312.12963444,Topological_Polar_Surface_Area is 60.6,""Unit"":""Å²"",Heavy_Atom_Count is 22,Formal_Charge is 0,Complexity is 402,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL345937,-1.1,CC1SC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CCNCC4,"cid is 2842484,compound_name is 2-[1-(1-Adamantyl)ethylamino]-1-(4-nitrophenyl)ethanol,cid_paras is 2842484,Molecular_Weight is 344.4,XLogP3 is 3.8,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 5,Exact_Mass is 344.20999276,Monoisotopic_Mass is 344.20999276,Topological_Polar_Surface_Area is 78.1,""Unit"":""Å²"",Heavy_Atom_Count is 25,Formal_Charge is 0,Complexity is 454,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 2,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Solubility is 38.3[ug/mL](ThemeanoftheresultsatpH7.4)"
CHEMBL2171040,0.89,COc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,"cid is 71453749,compound_name is 5-Methyl-1-[1-[[3-(4-methylphenoxy)phenyl]methyl]piperidin-3-yl]pyrimidine-2,4-dione,cid_paras is 71453749,Molecular_Weight is 405.5,XLogP3 is 3.6,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 5,Exact_Mass is 405.20524173,Monoisotopic_Mass is 405.20524173,Topological_Polar_Surface_Area is 61.9,""Unit"":""Å²"",Heavy_Atom_Count is 30,Formal_Charge is 0,Complexity is 656,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL2104888,2.8,O[C@H]([C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(=O)N4C[C@@H](O)[C@@H](O)C4,"cid is 56666341,compound_name is N-[2-[2-(4-hydroxy-2-oxo-3H-1,3-benzothiazol-7-yl)ethylamino]ethyl]-3-(2-phenylethoxy)-N-propylpropanamide,cid_paras is 56666341,Molecular_Weight is 471.6,XLogP3 is 3.3,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 6,Rotatable_Bond_Count is 14,Exact_Mass is 471.21917772,Monoisotopic_Mass is 471.21917772,Topological_Polar_Surface_Area is 116,""Unit"":""Å²"",Heavy_Atom_Count is 33,Formal_Charge is 0,Complexity is 602,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1077827,1.4,CCOc1ccc(cc1)N2C(=O)c3cccnc3N=C2[C@@H](C)N(CC4CCN(C)CC4)C(=O)Cc5ccc(F)c(c5)C(F)(F)F,"cid is 44452662,compound_name is 2-Benzyl-5-(benzylamino)-1,2,4-thiadiazol-3-one,cid_paras is 44452662,Molecular_Weight is 297.4,XLogP3 is 2.9,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 5,Exact_Mass is 297.09358328,Monoisotopic_Mass is 297.09358328,Topological_Polar_Surface_Area is 70,""Unit"":""Å²"",Heavy_Atom_Count is 21,Formal_Charge is 0,Complexity is 387,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL300982,3.07,CC1(C)Cc2c(c3ccccc3)c(c(CC(=O)O)n2C1)c4ccc(Cl)cc4,"cid is 71452498,compound_name is N-(2,4-dimethoxy-5-phenoxazin-10-ylsulfonylphenyl)-2-(2-fluoropyridin-4-yl)acetamide,cid_paras is 71452498,Molecular_Weight is 535.5,XLogP3 is 3.9,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 7,Exact_Mass is 535.12133477,Monoisotopic_Mass is 535.12133477,Topological_Polar_Surface_Area is 115,""Unit"":""Å²"",Heavy_Atom_Count is 38,Formal_Charge is 0,Complexity is 897,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL219098,2.87,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Oc3cccc4ccccc34)c2C(=O)N5CC[C@@H](O)C5,"cid is 24748573,compound_name is Silmitasertib,cid_paras is 24748573,Molecular_Weight is 349.8,XLogP3 is 4.4,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 3,Exact_Mass is 349.0618043,Monoisotopic_Mass is 349.0618043,Topological_Polar_Surface_Area is 75.1,""Unit"":""Å²"",Heavy_Atom_Count is 25,Formal_Charge is 0,Complexity is 491,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1824606,3.85,Fc1ccccc1COc2cc(OCCCN3CCCC3)ccc2C(=O)Nc4ccccc4,"cid is 3325,compound_name is Pepcid,cid_paras is 3325,Molecular_Weight is 337.5,XLogP3 is -0.6,Hydrogen_Bond_Donor_Count is 4,Hydrogen_Bond_Acceptor_Count is 8,Rotatable_Bond_Count is 7,Exact_Mass is 337.04493627,Monoisotopic_Mass is 337.04493627,Topological_Polar_Surface_Area is 238,""Unit"":""Å²"",Heavy_Atom_Count is 20,Formal_Charge is 0,Complexity is 469,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 1,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid,Color/Form is Whitetopaleyellowcrystals,Melting_Point is 163.5,""Unit"":""°C"",Solubility is 1000,""Unit"":""mg/L(at20°C)"""
CHEMBL1218,2.57,CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c12,"cid is 57392006,compound_name is 4-[(R)-[3-(cyclopropanecarbonylamino)phenyl]-[4-[(4-fluorophenyl)methyl]piperazin-1-yl]methyl]-N-(2-hydroxyethyl)-N-methylbenzamide,cid_paras is 57392006,Molecular_Weight is 544.7,XLogP3 is 3.3,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 6,Rotatable_Bond_Count is 10,Exact_Mass is 544.28496922,Monoisotopic_Mass is 544.28496922,Topological_Polar_Surface_Area is 76.1,""Unit"":""Å²"",Heavy_Atom_Count is 40,Formal_Charge is 0,Complexity is 817,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL121,2.5,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,"cid is 57393451,compound_name is N-ethyl-2-(4-methylsulfonylphenyl)-N-[1-[(3R)-3-(1-methylsulfonylpiperidin-4-yl)-3-[3-(trifluoromethyl)phenyl]propyl]piperidin-4-yl]acetamide,cid_paras is 57393451,Molecular_Weight is 671.8,XLogP3 is 4.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 10,Rotatable_Bond_Count is 11,Exact_Mass is 671.26744835,Monoisotopic_Mass is 671.26744835,Topological_Polar_Surface_Area is 112,""Unit"":""Å²"",Heavy_Atom_Count is 45,Formal_Charge is 0,Complexity is 1160,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL193200,2.54,Oc1ccc(CC(=O)c2ccc(O)cc2O)cc1,"cid is 9827930,compound_name is N-{4-Methyl-3-[2-(1-methyl-piperidin-3-ylmethoxy)-pyrimidin-4-ylamino]-phenyl}-2-morpholin-4-yl-isonicotinamide,cid_paras is 9827930,Molecular_Weight is 517.6,XLogP3 is 3.4,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 8,Exact_Mass is 517.28013800,Monoisotopic_Mass is 517.28013800,Topological_Polar_Surface_Area is 105,""Unit"":""Å²"",Heavy_Atom_Count is 38,Formal_Charge is 0,Complexity is 739,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1433131,2.66,Clc1cccc(Cl)c1c2nnc3cccc(Cl)n23,"cid is 59295978,compound_name is N-[(2R)-3-[4-(3,4-dichlorophenoxy)piperidin-1-yl]-2-hydroxypropyl]-8-fluoro-1-oxo-2H-isoquinoline-4-carboxamide,cid_paras is 59295978,Molecular_Weight is 508.4,XLogP3 is 3.3,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 6,Rotatable_Bond_Count is 7,Exact_Mass is 507.1127898,Monoisotopic_Mass is 507.1127898,Topological_Polar_Surface_Area is 90.9,""Unit"":""Å²"",Heavy_Atom_Count is 34,Formal_Charge is 0,Complexity is 765,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL72,1.24,CNCCCN1c2ccccc2CCc3ccccc13,"cid is 6539029,compound_name is Sulfonamide deriv. 3f,cid_paras is 6539029,Molecular_Weight is 465.6,XLogP3 is 3.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 8,Rotatable_Bond_Count is 9,Exact_Mass is 465.19469430,Monoisotopic_Mass is 465.19469430,Topological_Polar_Surface_Area is 104,""Unit"":""Å²"",Heavy_Atom_Count is 33,Formal_Charge is 0,Complexity is 708,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
