iupac,smiles,expt,calc,Description
"1,1-difluoroethane",CC(F)F,-0.11,0.226,"cid is 12332,compound_name is Hexanamide,cid_paras is 12332,Molecular_Weight is 115.17,XLogP3 is 1.3,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 4,Exact_Mass is 115.099714038,Monoisotopic_Mass is 115.099714038,Topological_Polar_Surface_Area is 43.1,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 70.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Hexanamideappearsascolorlesscrystals.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":10,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Hexanamide"",""Type"":""PubChemInternalLink"",""Extra"":""CID-12332,Color/Form is CRYSTALSFROMACETONE,Boiling_Point is 491°Fat760mmHg(NTP,1992),Melting_Point is 214°F(NTP,1992),Solubility is 0.1to1mg/mLat59°F(NTP,1992),Density is 0.999at68°F(NTP,1992)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":45,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43,-16.039,"cid is 10974,compound_name is Isobutyl nitrate,cid_paras is 10974,Molecular_Weight is 119.12,XLogP3 is 1.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 2,Exact_Mass is 119.058243149,Monoisotopic_Mass is 119.058243149,Topological_Polar_Surface_Area is 55,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 75.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
butadiene,C=CC=C,0.56,1.955,"cid is 20528,compound_name is 9,10-Anthracenedione, 1-[(2-hydroxyethyl)amino]-,cid_paras is 20528,Molecular_Weight is 267.28,XLogP3 is 3.2,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 3,Exact_Mass is 267.08954328,Monoisotopic_Mass is 267.08954328,Topological_Polar_Surface_Area is 66.4,""Unit"":""Å²"",Heavy_Atom_Count is 20,Formal_Charge is 0,Complexity is 395,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
"N,N-dimethylmethanamine",CN(C)C,-3.2,-2.636,"cid is 85254,compound_name is 2-Hydroxyethyl nitrate,cid_paras is 85254,Molecular_Weight is 107.07,XLogP3 is -0.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 2,Exact_Mass is 107.02185764,Monoisotopic_Mass is 107.02185764,Topological_Polar_Surface_Area is 75.3,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 57.2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
hexanamide,CCCCCC(=O)N,-9.31,-8.103,"cid is 8093,compound_name is 2-Octanone,cid_paras is 8093,Molecular_Weight is 128.21,XLogP3 is 2.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 5,Exact_Mass is 128.120115130,Monoisotopic_Mass is 128.120115130,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 76.6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquidwithapleasantodor;[Hawley],Color/Form is Colorlessliquid,Odor is FATTY,GREENCHEESEAROMA,Boiling_Point is 173.5,Melting_Point is -16°C,Flash_Point is 125°F(52°C)(Closedcup),Solubility is Misciblewithalcohol,ether,Density is 0.820at20°C/4°C"
isobutyl nitrate,CC(C)CO[N+](=O)[O-],-1.88,-1.835,"cid is 53167,compound_name is 1-Methylpiperazine,cid_paras is 53167,Molecular_Weight is 100.16,XLogP3 is -0.4,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 100.100048391,Monoisotopic_Mass is 100.100048391,Topological_Polar_Surface_Area is 15.3,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 48,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Clearlightyellowhygroscopicliquid;[Sigma-AldrichMSDS]"
"1-(2-hydroxyethylamino)-9,10-anthraquinone",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,-13.599,"cid is 6341,compound_name is Ethylamine,cid_paras is 6341,Molecular_Weight is 45.08,XLogP3 is -0.3,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 45.057849228,Monoisotopic_Mass is 45.057849228,Topological_Polar_Surface_Area is 26,""Unit"":""Å²"",Heavy_Atom_Count is 3,Formal_Charge is 0,Complexity is 2.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Ethylamineappearsasacolorlessliquidoragas(boilingpoint62°F)withanodorofammonia.Flashpointlessthan0°F.Densityofliquid5.7lb/gal.Corrosivetotheskinandeyes.Vaporsareheavierthanair.Producestoxicoxidesofnitrogenduringcombustion.Exposureoftheclosedcontainertointenseheatmaycauseittoruptureviolentlyandrocket."",""Markup"":[{""Start"":0,""Length"":10,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Ethylamine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6341"",Color/Form is Colorlessgasorwater-whiteliquid(below62degreesF)[Shippedasaliquefiedcompressedgas]"",""Markup"":[{""Start"":17,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Odor is Ammoniaodor,Boiling_Point is 61.9°Fat760mmHg(NTP,1992),Melting_Point is -114°F(NTP,1992),Flash_Point is lessthan0°F(NTP,1992),Solubility is Verysoluble(NTP,1992),Density is 0.687at59°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
2-(nitrooxy)ethan-1-ol,C(CO[N+](=O)[O-])O,-8.18,-6.676,"cid is 11000,compound_name is Cycloheptatriene,cid_paras is 11000,Molecular_Weight is 92.14,XLogP3 is 2.6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 92.062600255,Monoisotopic_Mass is 92.062600255,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 102,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Cycloheptatrieneappearsasacolorlessliquid.Insolubleinwaterandlessdensethanwater.Vaporsheavierthanair.Inhalationofhighconcentrationsmayhaveanarcoticeffect.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":16,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Cycloheptatriene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-11000"""
octan-2-one,CCCCCCC(=O)C,-2.88,-2.758,"cid is 11940,compound_name is 9,10-Dihydroanthracene,cid_paras is 11940,Molecular_Weight is 180.24,XLogP3 is 4.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 180.093900383,Monoisotopic_Mass is 180.093900383,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 14,Formal_Charge is 0,Complexity is 154,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid;[Sigma-AldrichMSDS]"
1-methylpiperazine,CN1CCNCC1,-7.77,-8.173,"cid is 6365,compound_name is 1,1-Dichloroethane,cid_paras is 6365,Molecular_Weight is 98.96,XLogP3 is 1.9,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 97.9690055,Monoisotopic_Mass is 97.9690055,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 4,Formal_Charge is 0,Complexity is 11.5,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 1,1-dichloroethaneappearsasacolorlessliquidwithanether-likeodor.Slightlysolubleinwaterandslightlydenserthanwater.Flashpointbelow70°F.Vaporsdenserthanair.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":18,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/1%2C1-dichloroethane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6365"",Color/Form is Colorless,oilyliquid,Odor is Aromaticetherealodor,Boiling_Point is 135.1°Fat760mmHg(NTP,1992),Melting_Point is -143°F(NTP,1992),Flash_Point is 22°F(NTP,1992),Solubility is lessthan1mg/mLat68°F(NTP,1992),Density is 1.174at68°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
ethanamine,CCN,-4.5,-3.156,"cid is 9007,compound_name is 3-Methoxyphenol,cid_paras is 9007,Molecular_Weight is 124.14,XLogP3 is 1.6,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 1,Exact_Mass is 124.052429494,Monoisotopic_Mass is 124.052429494,Topological_Polar_Surface_Area is 29.5,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 83,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Amberliquidwithasweetphenolicodor;[OSHA]Cleardarkredliquid;[Sigma-AldrichMSDS],Boiling_Point is 471.2°F,Melting_Point is <1.4°F"
"cyclohepta-1,3,5-triene",C1C=CC=CC=C1,-0.99,-0.098,"cid is 6734,compound_name is Acenaphthene,cid_paras is 6734,Molecular_Weight is 154.21,XLogP3 is 3.9,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 154.078250319,Monoisotopic_Mass is 154.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 12,Formal_Charge is 0,Complexity is 155,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Acenaphtheneappearsaswhiteneedles.Meltingpoint93.6°C.Solubleinhotalcohol.Denserthanwaterandinsolubleinwater.Hencesinksinwater.Mayirritateskinandmucousmembranes.Emitsacridsmokeandirritatingfumeswhenheatedtodecomposition.Derivedfromcoaltarandusedtomakedyes,pharmaceuticals,insecticides,fungicides,andplastics."",""Markup"":[{""Start"":0,""Length"":12,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Acenaphthene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6734"",Color/Form is Whiteneedles,Boiling_Point is 534°Fat760mmHg(NTP,1992),Melting_Point is 203°F(NTP,1992),Flash_Point is 125.0°C(257.0°F)-closedcup,Solubility is lessthan1mg/mLat68°F(NTP,1992),Density is 1.024at210°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"9,10-dihydroanthracene",c1ccc2c(c1)Cc3ccccc3C2,-3.78,-4.304,"cid is 8140,compound_name is 1-Bromooctane,cid_paras is 8140,Molecular_Weight is 193.12,XLogP3 is 4.9,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 6,Exact_Mass is 192.05136,Monoisotopic_Mass is 192.05136,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 43.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[MerckIndex]"
"1,1-dichloroethane",CC(Cl)Cl,-0.84,0.187,"cid is 244,compound_name is Benzyl Alcohol,cid_paras is 244,Molecular_Weight is 108.14,XLogP3 is 1.1,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 108.057514874,Monoisotopic_Mass is 108.057514874,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 55.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Benzylalcoholappearsasaclearcolorlessliquidwithapleasantodor.Slightlydenserthanwater.Flashpoint194°F.Boilingpoint401°F.Contactmayirritateskin,eyes,andmucousmembranes.Maybeslightlytoxicbyingestion.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":14,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Benzyl%20alcohol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-244"",Color/Form is Water-whiteliquid,Odor is Faintaromaticodor,Boiling_Point is 401°Fat760mmHg(NTP,1992),Melting_Point is 4.5°F(NTP,1992),Flash_Point is 213°F(NTP,1992),Solubility is 10to50mg/mLat70°F(NTP,1992),Density is 1.05at1515°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":43,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
3-methoxyphenol,COc1cccc(c1)O,-7.66,-6.969,"cid is 5802,compound_name is 5-Bromouracil,cid_paras is 5802,Molecular_Weight is 190.98,XLogP3 is -0.2,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 189.93779,Monoisotopic_Mass is 189.93779,Topological_Polar_Surface_Area is 58.2,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 199,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 5-bromouracilisawhitepowder.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":13,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/5-bromouracil"",""Type"":""PubChemInternalLink"",""Extra"":""CID-5802,Color/Form is Prismsfromwater,Melting_Point is 590°F(NTP,1992),Solubility is lessthan1mg/mLat75°F(NTP,1992)"
acenaphthene,c1cc2cccc3c2c(c1)CC3,-3.15,-4.198,"cid is 7843,compound_name is Butane,cid_paras is 7843,Molecular_Weight is 58.12,XLogP3 is 2.9,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 58.078250319,Monoisotopic_Mass is 58.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 4,Formal_Charge is 0,Complexity is 2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Butaneisacolorlessgaswithafaintpetroleum-likeodor.Fortransportationitmaybestenched.Itisshippedasaliquefiedgasunderitsvaporpressure.Contactwiththeliquidcancausefrostbite.Itiseasilyignited.Itsvaporsareheavierthanair.Anyleakcanbeeitherliquidorvapor.Underprolongedexposuretofireorintenseheatthecontainersmayruptureviolentlyandrocket.Itisusedasafuel,anaerosolpropellant,incigarettelighters,andtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":6,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Butane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7843,Color/Form is Colorlessgas[Note:Shippedasaliquefiedcompressedgas.Aliquidbelow31degreesF],Odor is Faint,disagreeableodor,Boiling_Point is 31.1°Fat760mmHg(NTP,1992),Melting_Point is -217.1°F(NTP,1992),Flash_Point is -76°F(NTP,1992),Solubility is 61mg/Lat68°F(NTP,1992),Density is 0.6at32°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":44,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
1-bromooctane,CCCCCCCCBr,0.52,1.352,"cid is 6327,compound_name is Chloromethane,cid_paras is 6327,Molecular_Weight is 50.49,XLogP3 is 0.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 49.9923278,Monoisotopic_Mass is 49.9923278,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 2,Formal_Charge is 0,Complexity is 2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methylchlorideappearsasacolorlessgaswithafaintsweetodor.Shippedasaliquidunderitsvaporpressure.Aleakmayeitherbeliquidorvapor.Contactwiththeliquidmaycausefrostbitebyevaporativecooling.Easilyignited.Vaporsheavierthanair.Canasphyxiatebythedisplacementofair.Underprolongedexposuretofireorintenseheatthecontainersmayruptureviolentlyandrocket.Usedtomakeotherchemicalsandasaherbicide."",""Markup"":[{""Start"":0,""Length"":15,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methyl%20chloride"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6327,Color/Form is Colorlesscompressedgasorliquid,Odor is Faintsweetetherealodor,Boiling_Point is -11.6°Fat760mmHg(NTP,1992),Melting_Point is -143°F(NTP,1992),Flash_Point is -49.9°F(NTP,1992),Solubility is Slightlysoluble(NTP,1992),Density is 0.997at-11.2°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":49,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
phenylmethanol,c1ccc(cc1)CO,-6.62,-5.133,"cid is 6555,compound_name is 1-Bromo-2-methylpropane,cid_paras is 6555,Molecular_Weight is 137.02,XLogP3 is 2.3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 135.98876,Monoisotopic_Mass is 135.98876,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 17.6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[MerckIndex]Lightyellowliquid;[Sigma-AldrichMSDS]"
5-bromouracil,c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17,-17.298,"cid is 12264,compound_name is Diisopropyl sulfide,cid_paras is 12264,Molecular_Weight is 118.24,XLogP3 is 2.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 2,Exact_Mass is 118.08162162,Monoisotopic_Mass is 118.08162162,Topological_Polar_Surface_Area is 25.3,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 33.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid,Boiling_Point is 120.00to122.00°C.@760.00mmHg,Melting_Point is -78.1°C"
n-butane,CCCC,2.1,2.588,"cid is 8900,compound_name is Heptane,cid_paras is 8900,Molecular_Weight is 100.20,XLogP3 is 4.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 4,Exact_Mass is 100.125200510,Monoisotopic_Mass is 100.125200510,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 19.2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is N-heptaneisaclearcolorlessliquidswithapetroleum-likeodor.Flashpoint25°F.Lessdensethanwaterandinsolubleinwater.Vaporsheavierthanair."",""Markup"":[{""Start"":0,""Length"":9,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/N-heptane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8900"",Color/Form is Colorlessliquid,Odor is Gasoline-likeodor,Boiling_Point is 209.1°Fat760mmHg(USCG,1999),Melting_Point is -131°F(USCG,1999),Flash_Point is 25°F(USCG,1999),Solubility is 0.0003%(NIOSH,2024),Density is 0.6838at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":47,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
chloromethane,CCl,-0.55,0.764,"cid is 795,compound_name is Imidazole,cid_paras is 795,Molecular_Weight is 68.08,XLogP3 is -0.1,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 68.037448136,Monoisotopic_Mass is 68.037448136,Topological_Polar_Surface_Area is 28.7,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 28.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid,OtherSolid,Color/Form is Monoclinicprismsfrombenzene"",""Markup"":[{""Start"":23,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/benzene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-241,Odor is Amine-likeodor,Boiling_Point is 257,""Unit"":""°C"",Melting_Point is 90.5,""Unit"":""°C"",Flash_Point is 145°C(293°F)-closedcup,Solubility is Verysolubleinwater,Density is Density:1.0303g/cumat101°C"
1-bromo-2-methyl-propane,CC(C)CBr,-0.03,0.756,"cid is 48889,compound_name is 1,2,3,7-Tetrachlorodibenzo-p-dioxin,cid_paras is 48889,Molecular_Weight is 322.0,XLogP3 is 6,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 321.893590,Monoisotopic_Mass is 319.896540,Topological_Polar_Surface_Area is 18.5,""Unit"":""Å²"",Heavy_Atom_Count is 18,Formal_Charge is 0,Complexity is 317,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
